"","idstud","rater","k1","k2","k3","k4","k5"
"1",100020106,"db03",1,1,1,1,2
"2",100020106,"db54",1,1,1,1,2
"3",100070101,"db08",0,1,1,1,1
"4",100070101,"db31",1,1,1,2,2
"5",100100109,"db02",2,1,2,1,0
"6",200010120,"db01",0,0,0,0,1
"7",200010120,"db08",1,0,0,0,0
"8",200010210,"db07",3,3,3,2,3
"10",200010213,"db01",0,0,1,0,1
"11",200010213,"db08",0,0,0,1,0
"12",200030112,"db02",2,2,1,2,1
"13",200030112,"db07",3,2,2,2,1
"14",200040105,"db03",2,2,1,2,2
"16",200050113,"db03",2,2,1,2,1
"17",200050113,"db08",3,1,2,1,1
"18",200100110,"db01",1,1,1,1,1
"21",200100302,"db31",3,2,2,2,1
"23",200150117,"db54",3,2,3,3,2
"24",200190108,"db02",1,0,1,0,1
"25",200190108,"db07",1,1,1,1,0
"26",200200208,"db31",1,1,1,1,0
"29",200210105,"db54",2,1,1,2,2
"30",200220115,"db01",1,1,1,1,2
"31",200220115,"db02",2,1,1,1,2
"32",200220115,"db03",2,1,2,1,2
"33",200220115,"db07",2,1,2,1,2
"34",200220115,"db08",1,1,2,1,2
"39",200220115,"db31",2,1,1,2,1
"44",200220115,"db54",2,1,2,2,2
"48",300020116,"db03",2,1,1,2,2
"49",300020116,"db31",2,2,2,2,2
"51",300020223,"db54",2,2,2,2,2
"52",300040123,"db01",1,1,1,2,0
"53",300040123,"db02",1,1,1,1,1
"54",300040123,"db03",1,1,2,1,1
"55",300040123,"db07",2,2,1,1,2
"56",300040123,"db08",1,2,1,2,1
"61",300040123,"db31",2,1,2,2,1
"66",300040123,"db54",2,1,1,1,1
"68",300040220,"db01",1,1,1,1,2
"69",300040220,"db02",1,1,1,1,2
"70",300040220,"db03",1,1,1,2,2
"71",300040220,"db07",2,1,2,2,2
"72",300040220,"db08",3,2,2,1,2
"77",300040220,"db31",3,3,3,3,3
"82",300040220,"db54",2,1,1,1,2
"84",300040301,"db03",0,0,1,1,1
"86",300040312,"db07",2,2,2,2,2
"88",300040317,"db01",1,1,1,1,1
"89",300040317,"db02",2,1,1,1,2
"90",300040317,"db03",2,2,1,2,2
"91",300040317,"db07",2,1,1,1,2
"92",300040317,"db08",2,2,1,0,1
"97",300040317,"db31",2,2,2,2,1
"102",300040317,"db54",2,1,1,2,2
"104",300060102,"db31",3,3,3,2,2
"107",300120101,"db31",1,1,1,1,1
"109",300120113,"db54",0,0,1,1,1
"114",300140212,"db01",1,2,1,1,1
"116",300150109,"db03",1,1,2,2,2
"120",300160118,"db01",1,1,2,2,2
"124",300210119,"db31",3,3,3,3,2
"125",300210119,"db54",3,3,3,2,2
"126",300210210,"db03",0,0,1,1,1
"128",300230113,"db01",0,0,0,1,1
"129",300230113,"db02",1,0,1,0,2
"130",300230113,"db07",1,1,1,1,2
"131",300230113,"db08",2,2,1,1,1
"136",300230113,"db31",1,0,1,1,1
"141",300230113,"db54",0,1,1,0,3
"143",300240111,"db08",0,0,0,0,1
"145",300240201,"db07",1,0,1,0,2
"147",300250206,"db07",2,2,2,2,2
"149",300290201,"db07",3,3,3,3,3
