"","subjects","raters","trait","score"
"1",1,1,"Trait_a",5
"2",1,1,"Trait_b",5
"3",1,1,"Trait_c",3
"4",1,1,"Trait_d",5
"5",1,1,"Trait_e",3
"6",1,2,"Trait_a",9
"7",1,2,"Trait_b",7
"8",1,2,"Trait_c",5
"9",1,2,"Trait_d",8
"10",1,2,"Trait_e",5
"11",1,3,"Trait_a",3
"12",1,3,"Trait_b",3
"13",1,3,"Trait_c",3
"14",1,3,"Trait_d",7
"15",1,3,"Trait_e",1
"16",1,4,"Trait_a",7
"17",1,4,"Trait_b",3
"18",1,4,"Trait_c",1
"19",1,4,"Trait_d",3
"20",1,4,"Trait_e",3
"21",1,5,"Trait_a",9
"22",1,5,"Trait_b",7
"23",1,5,"Trait_c",7
"24",1,5,"Trait_d",8
"25",1,5,"Trait_e",5
"26",1,6,"Trait_a",3
"27",1,6,"Trait_b",5
"28",1,6,"Trait_c",3
"29",1,6,"Trait_d",5
"30",1,6,"Trait_e",1
"31",1,7,"Trait_a",7
"32",1,7,"Trait_b",7
"33",1,7,"Trait_c",5
"34",1,7,"Trait_d",5
"35",1,7,"Trait_e",5
"36",2,1,"Trait_a",6
"37",2,1,"Trait_b",5
"38",2,1,"Trait_c",4
"39",2,1,"Trait_d",6
"40",2,1,"Trait_e",3
"41",2,2,"Trait_a",8
"42",2,2,"Trait_b",7
"43",2,2,"Trait_c",5
"44",2,2,"Trait_d",7
"45",2,2,"Trait_e",2
"46",2,3,"Trait_a",4
"47",2,3,"Trait_b",5
"48",2,3,"Trait_c",3
"49",2,3,"Trait_d",6
"50",2,3,"Trait_e",6
"51",2,4,"Trait_a",5
"52",2,4,"Trait_b",6
"53",2,4,"Trait_c",4
"54",2,4,"Trait_d",5
"55",2,4,"Trait_e",5
"56",2,5,"Trait_a",2
"57",2,5,"Trait_b",4
"58",2,5,"Trait_c",3
"59",2,5,"Trait_d",2
"60",2,5,"Trait_e",3
"61",2,6,"Trait_a",4
"62",2,6,"Trait_b",4
"63",2,6,"Trait_c",6
"64",2,6,"Trait_d",4
"65",2,6,"Trait_e",2
"66",2,7,"Trait_a",3
"67",2,7,"Trait_b",3
"68",2,7,"Trait_c",5
"69",2,7,"Trait_d",5
"70",2,7,"Trait_e",4
"71",3,1,"Trait_a",5
"72",3,1,"Trait_b",5
"73",3,1,"Trait_c",5
"74",3,1,"Trait_d",7
"75",3,1,"Trait_e",3
"76",3,2,"Trait_a",7
"77",3,2,"Trait_b",7
"78",3,2,"Trait_c",5
"79",3,2,"Trait_d",7
"80",3,2,"Trait_e",5
"81",3,3,"Trait_a",3
"82",3,3,"Trait_b",5
"83",3,3,"Trait_c",5
"84",3,3,"Trait_d",5
"85",3,3,"Trait_e",5
"86",3,4,"Trait_a",5
"87",3,4,"Trait_b",3
"88",3,4,"Trait_c",3
"89",3,4,"Trait_d",3
"90",3,4,"Trait_e",1
"91",3,5,"Trait_a",9
"92",3,5,"Trait_b",7
"93",3,5,"Trait_c",7
"94",3,5,"Trait_d",7
"95",3,5,"Trait_e",7
"96",3,6,"Trait_a",3
"97",3,6,"Trait_b",3
"98",3,6,"Trait_c",3
"99",3,6,"Trait_d",5
"100",3,6,"Trait_e",3
"101",3,7,"Trait_a",7
"102",3,7,"Trait_b",7
"103",3,7,"Trait_c",7
"104",3,7,"Trait_d",5
"105",3,7,"Trait_e",7
